Time_Sec,Hour,Stress_Level,Scenario,Is_Noisy,HR_Target,SDNN_Target,HR_Extracted,SDNN_Extracted,RMSSD,pNN50,LF,HF,LF_HF_Ratio
0,0.0,0,Acute_Stress,False,65.0,41.357,72.3077241003586,46.06728768561228,47.641482091605106,38.40432798360286,1045.283,2630.79,0.3973
30,0.0083,0,Acute_Stress,False,65.0,41.357,65.74397360547684,42.65457959278951,50.71199053055025,35.84309038866163,1003.776,2739.009,0.3665
60,0.0167,0,Acute_Stress,False,65.0,41.357,66.42587729392525,39.79171661069335,46.24894128197666,42.061345304915754,1024.889,2574.548,0.3981
90,0.025,0,Acute_Stress,False,65.0,41.357,62.37231138266062,41.385324046243205,49.842840336526194,37.377765423612885,1014.387,2604.978,0.3894
120,0.0333,0,Acute_Stress,False,65.0,41.357,61.34722772379167,44.86258960748907,51.6828617320418,40.496675532345506,1040.023,2405.106,0.4324
150,0.0417,0,Acute_Stress,False,65.0,41.357,64.07464685282828,40.538900359927965,52.422161528908624,38.65904667422688,1049.647,2391.077,0.439
180,0.05,0,Acute_Stress,False,65.0,41.357,67.81076486747678,38.698850184232654,52.893542313642634,35.205901840603794,888.221,2723.057,0.3262
210,0.0583,0,Acute_Stress,False,65.0,41.357,62.011820956594356,40.99161252696134,49.8939809897082,40.154448469491435,942.21,2661.624,0.354
240,0.0667,0,Acute_Stress,False,65.0,41.357,67.27629897451394,40.3219920314259,52.03921379936955,35.30275748470892,1017.52,2572.114,0.3956
270,0.075,0,Acute_Stress,False,65.0,41.357,60.5995086291077,41.12425305895058,48.406589195361235,38.3209371956237,1033.162,2558.959,0.4037
300,0.0833,0,Acute_Stress,False,65.0,41.357,64.56515242473607,41.97107560327273,47.75208154898842,41.75477024989989,1055.251,2527.881,0.4174
330,0.0917,0,Acute_Stress,False,65.0,41.357,73.40431124466518,39.43109516700244,51.08233790380509,36.96815073286616,975.591,2690.139,0.3627
360,0.1,0,Acute_Stress,False,65.0,41.357,67.10137580696168,40.005996694747196,45.50529206353501,39.889369772985496,1047.211,2582.771,0.4055
390,0.1083,0,Acute_Stress,False,65.0,41.357,63.35173124119124,40.935817564891025,47.68066776338891,34.510431907539406,1032.151,2668.547,0.3868
420,0.1167,0,Acute_Stress,False,65.0,41.357,68.29753473572148,44.06210966641845,50.092507532357175,36.570907593967306,1037.423,2368.456,0.438
450,0.125,0,Acute_Stress,False,65.0,41.357,69.06428751531125,41.59032678055368,44.57340973060299,38.24332256889593,1069.559,2203.234,0.4854
480,0.1333,0,Acute_Stress,False,65.0,41.357,60.86438868606473,43.842049623091555,50.56780092580824,39.25030931001064,1016.939,2609.458,0.3897
510,0.1417,0,Acute_Stress,False,65.0,41.357,63.435871804695076,39.33464570826792,50.29308554267656,39.7983598184328,909.558,2477.7,0.3671
540,0.15,0,Acute_Stress,False,65.0,41.357,68.91120309751055,39.69967677294262,47.29075007349692,38.05803519336196,929.748,2624.758,0.3542
570,0.1583,0,Acute_Stress,False,65.0,41.357,61.22152604089488,39.775171021766454,50.95397515811516,36.275742850659036,1002.542,2498.197,0.4013
600,0.1667,0,Acute_Stress,False,65.0,41.357,68.60619361815756,39.44184375866995,53.22875241092379,39.06845512944516,1036.836,2483.884,0.4174
630,0.175,0,Acute_Stress,False,65.0,41.357,65.33157821220023,41.41367498325974,52.73662466350519,37.684535731712074,972.673,2682.199,0.3626
660,0.1833,0,Acute_Stress,False,65.0,41.357,65.16318989881945,41.821437614745925,47.65018776925458,42.59774234620614,1024.146,2685.655,0.3813
690,0.1917,0,Acute_Stress,False,65.0,41.357,67.532719317569,42.98341301048058,49.65325916804333,37.6130725591144,1001.574,2704.717,0.3703
720,0.2,0,Acute_Stress,False,65.0,41.357,65.939821898866,41.08639480649741,53.9253803097065,39.84659980994208,1012.286,2513.24,0.4028
750,0.2083,0,Acute_Stress,False,65.0,41.357,61.83338230780968,43.521438878967835,49.49143526977016,33.63248782287566,1001.855,2474.185,0.4049
780,0.2167,0,Acute_Stress,False,65.0,41.357,67.3686915744052,41.314589786623856,47.74690630899201,36.142163087177295,952.981,2690.762,0.3542
810,0.225,0,Acute_Stress,False,65.0,41.357,65.91130982640051,41.277979000711234,52.39092778275044,33.898477584319835,1060.024,2496.6,0.4246
840,0.2333,0,Acute_Stress,False,65.0,41.357,64.5995253850477,42.01926257286223,49.16681874513619,38.16999958818025,929.026,2211.771,0.42
870,0.2417,0,Acute_Stress,False,65.0,41.357,67.28099766531963,42.26194256963504,47.74214342283282,43.52138759072824,979.32,2598.597,0.3769
900,0.25,0,Acute_Stress,False,65.0,41.357,60.16632655994945,37.92544476741584,50.902605894846175,35.29261196509216,958.329,2824.791,0.3393
930,0.2583,0,Acute_Stress,False,65.0,41.357,70.41839602288101,43.34114748438509,52.420118597787415,38.77766236408225,949.738,2551.837,0.3722
960,0.2667,0,Acute_Stress,False,65.0,41.357,66.60606655187713,36.78593644551988,48.62013145952308,36.37371534450757,970.026,2682.93,0.3616
990,0.275,0,Acute_Stress,False,65.0,41.357,62.38190050191836,41.42408771976544,53.80548900654473,38.80118404391958,1020.433,2516.077,0.4056
1020,0.2833,0,Acute_Stress,False,65.0,41.357,64.23464756637173,41.35914929334257,42.38700398255928,38.8101974074479,999.177,2536.467,0.3939
1050,0.2917,0,Acute_Stress,False,65.0,41.357,67.6421135513396,41.88463699337061,53.98921233051515,34.315974693132496,1030.695,2293.284,0.4494
1080,0.3,0,Acute_Stress,False,65.0,41.357,64.89661304230428,39.5672851965449,49.174788613130666,39.850527894354016,1021.36,2410.005,0.4238
