Time_Sec,Hour,Stress_Level,Scenario,Is_Noisy,HR_Target,SDNN_Target,HR_Extracted,SDNN_Extracted,RMSSD,pNN50,LF,HF,LF_HF_Ratio
0,0.0,0,Acute_Stress,True,65.0,41.357,58.52123082972475,37.88354941826751,52.470975185240064,38.72051040236486,730.201,2557.887,0.2855
30,0.0083,0,Acute_Stress,True,65.0,41.357,67.05511198010403,41.0625973781185,55.012787809506115,29.534388730997044,1072.022,2926.544,0.3663
60,0.0167,0,Acute_Stress,True,65.0,41.357,67.38753097793295,51.95900925325524,55.68094190237195,37.7621073422619,759.344,2213.649,0.343
90,0.025,0,Acute_Stress,True,65.0,41.357,62.4779885949137,37.3353375820551,61.62445157266873,40.416875317378256,950.712,1846.318,0.5149
120,0.0333,0,Acute_Stress,True,65.0,41.357,65.31458773387621,33.9627735826446,54.22552932873476,28.826891087377746,1046.385,2533.261,0.4131
150,0.0417,0,Acute_Stress,True,65.0,41.357,76.12324146292127,40.32559260025675,40.977213428217,40.32736434205113,954.96,2685.126,0.3556
180,0.05,0,Acute_Stress,True,65.0,41.357,63.73664498462738,47.11005000369061,49.356120333878,26.413805376597313,1062.602,2591.088,0.4101
210,0.0583,0,Acute_Stress,True,65.0,41.357,52.13078997867029,41.87894992179921,48.0998493433126,40.25991173820157,973.098,2595.846,0.3749
240,0.0667,0,Acute_Stress,True,65.0,41.357,73.7878278718504,39.700668030898086,53.623257705080334,25.562360553071738,802.261,2237.321,0.3586
270,0.075,0,Acute_Stress,True,65.0,41.357,78.3953597403657,39.235653578279624,41.031450312796295,30.00005817126898,1077.464,2009.384,0.5362
300,0.0833,0,Acute_Stress,True,65.0,41.357,78.4170827199503,47.418801006707085,52.8831343348217,37.993126574931885,1178.306,2069.453,0.5694
330,0.0917,0,Acute_Stress,True,65.0,41.357,76.83644305871476,32.6142319359016,54.14276650195962,36.76309764691026,1061.533,2736.638,0.3879
360,0.1,0,Acute_Stress,True,65.0,41.357,60.31378815763854,49.058590665874625,50.46547966577419,42.708988589015384,1119.586,2545.3,0.4399
390,0.1083,0,Acute_Stress,True,65.0,41.357,55.19859194683137,34.40984924266234,47.158576256015145,40.61349454801469,970.316,2802.059,0.3463
420,0.1167,0,Acute_Stress,True,65.0,41.357,56.82980029388556,47.664652563065914,46.52909766898365,42.81280180162033,927.133,2352.802,0.3941
450,0.125,0,Acute_Stress,True,65.0,41.357,66.82197015969035,31.91136350491607,41.434381157667914,34.20631346715821,1057.75,2678.288,0.3949
480,0.1333,0,Acute_Stress,True,65.0,41.357,67.10723569851957,49.639198283093535,44.74295896695702,32.50733955366938,1122.387,2344.907,0.4786
510,0.1417,0,Acute_Stress,True,65.0,41.357,65.30638539660144,41.87191525764165,53.831622753228565,39.800547371838434,997.445,2327.907,0.4285
540,0.15,0,Acute_Stress,True,65.0,41.357,61.99962842586924,40.84828877826523,52.236078217258566,41.497655481090355,1257.899,2348.854,0.5355
570,0.1583,0,Acute_Stress,True,65.0,41.357,57.67345407991639,45.46677556589311,53.36539317016662,46.697989968504984,1013.034,2451.972,0.4132
600,0.1667,0,Acute_Stress,True,65.0,41.357,67.21291694191076,46.35507087714966,50.413581683721475,41.928921364021356,964.447,3102.283,0.3109
630,0.175,0,Acute_Stress,True,65.0,41.357,63.06778037829263,37.80027108917918,44.453524098119736,27.53708803554763,880.387,2248.47,0.3915
660,0.1833,0,Acute_Stress,True,65.0,41.357,61.571791310376604,40.07917247669878,53.8082942690525,32.061721103060066,999.789,1996.629,0.5007
690,0.1917,0,Acute_Stress,True,65.0,41.357,61.33808246284446,39.936037380627695,44.000391045872846,37.79020515127219,1120.959,2641.276,0.4244
720,0.2,0,Acute_Stress,True,65.0,41.357,63.41614638268908,41.10388523782316,59.25662356834886,32.77143869173568,1095.853,2381.6,0.4601
750,0.2083,0,Acute_Stress,True,65.0,41.357,68.00966908143262,40.77775343736036,49.88434167169254,41.78652281221208,1121.02,2193.23,0.5111
