Time_Sec,Hour,Stress_Level,Scenario,Is_Noisy,HR_Target,SDNN_Target,HR_Extracted,SDNN_Extracted,RMSSD,pNN50,LF,HF,LF_HF_Ratio
0,0.0,1,Chronic_Stress,False,68.25,37.2213,63.082124039596096,34.69809764645916,43.73650349258633,30.623966105734436,1613.396,1892.937,0.8523
30,0.0083,1,Chronic_Stress,False,68.25,37.2213,64.16273681082079,38.17086571998927,41.06564808244608,29.244668058407225,1580.752,2140.23,0.7386
60,0.0167,1,Chronic_Stress,False,68.25,37.2213,66.89940381560716,38.572267856994344,39.185858803857705,31.28930802126074,1524.907,1948.643,0.7825
90,0.025,1,Chronic_Stress,False,68.25,37.2213,66.77736273479252,36.936224928768546,40.722033535352715,23.614736450999484,1521.907,1943.304,0.7832
120,0.0333,1,Chronic_Stress,False,68.25,37.2213,67.98504232847725,36.16994066952764,41.262929604836124,29.72645963902462,1649.15,1902.437,0.8669
150,0.0417,1,Chronic_Stress,False,68.25,37.2213,72.3087003525622,34.22189895296045,42.35281974803099,31.815153707431264,1589.119,2081.498,0.7634
180,0.05,1,Chronic_Stress,False,68.25,37.2213,64.3553616787439,35.305258302691094,42.146907996474646,29.39577955934524,1393.1,1975.255,0.7053
210,0.0583,1,Chronic_Stress,False,68.25,37.2213,66.13765588307167,37.87418493130341,41.249949350325544,30.214704488687566,1530.611,2017.547,0.7586
240,0.0667,1,Chronic_Stress,False,68.25,37.2213,74.76890933255133,35.801306044959155,40.46064571672395,35.35279041405477,1475.967,2000.197,0.7379
270,0.075,1,Chronic_Stress,False,68.25,37.2213,72.45410192609766,39.82889873419299,33.69949313145359,30.03323747934041,1554.294,1978.189,0.7857
300,0.0833,1,Chronic_Stress,False,68.25,37.2213,66.33371958569732,34.11686034172975,39.41338591057467,32.50902294651321,1524.849,1972.475,0.7731
330,0.0917,1,Chronic_Stress,False,68.25,37.2213,67.81405328266024,40.30769061751153,39.81944908730551,28.95959769852578,1563.72,1946.354,0.8034
360,0.1,1,Chronic_Stress,False,68.25,37.2213,67.42478560510884,41.62077811387731,42.600743568873476,34.11777738337542,1628.13,2086.161,0.7804
390,0.1083,1,Chronic_Stress,False,68.25,37.2213,67.46340016972091,37.65343140783829,40.96355510912549,32.42491141369247,1436.871,1971.743,0.7287
420,0.1167,1,Chronic_Stress,False,68.25,37.2213,66.85187759974069,36.318863796240755,39.4795002534751,30.2857439752355,1517.366,2087.873,0.7268
450,0.125,1,Chronic_Stress,False,68.25,37.2213,69.66299150032077,36.64804352814264,41.13257988571045,30.83834734213524,1586.492,2135.685,0.7428
480,0.1333,1,Chronic_Stress,False,68.25,37.2213,61.96181804165794,36.63683717491637,42.17525716915942,32.5264210420296,1405.575,2048.301,0.6862
510,0.1417,1,Chronic_Stress,False,68.25,37.2213,68.13407237331751,34.9817099053222,38.65173388955761,28.585630196799258,1515.423,2095.072,0.7233
540,0.15,1,Chronic_Stress,False,68.25,37.2213,70.20886938688739,37.10008260763322,41.621416763554954,28.63729685305985,1627.885,1894.057,0.8595
570,0.1583,1,Chronic_Stress,False,68.25,37.2213,71.50443636987582,40.85277650050207,41.74562346983902,33.64695639992543,1585.132,1944.923,0.815
600,0.1667,1,Chronic_Stress,False,68.25,37.2213,68.98778470872162,37.16448803914779,43.639643258162,33.017767953201826,1607.357,2083.156,0.7716
630,0.175,1,Chronic_Stress,False,68.25,37.2213,73.6145024435779,36.77309578069926,34.97579247363759,34.350927254005086,1582.655,1927.554,0.8211
660,0.1833,1,Chronic_Stress,False,68.25,37.2213,69.5579352053356,34.20110641638162,41.60785185221857,30.487321989957387,1524.417,2068.811,0.7369
690,0.1917,1,Chronic_Stress,False,68.25,37.2213,68.4312185862072,39.36867438332206,37.945612765928026,31.068241818070188,1534.537,1873.264,0.8192
720,0.2,1,Chronic_Stress,False,68.25,37.2213,68.49225577549502,31.625569163277273,40.27766137629436,29.68429585461888,1528.463,1969.05,0.7762
750,0.2083,1,Chronic_Stress,False,68.25,37.2213,65.25892105192958,38.31110739667867,39.62772819539763,32.12910536367473,1476.757,1989.294,0.7424
