Time_Sec,Hour,Stress_Level,Scenario,Is_Noisy,HR_Target,SDNN_Target,HR_Extracted,SDNN_Extracted,RMSSD,pNN50,LF,HF,LF_HF_Ratio
0,0.0,1,Chronic_Stress,True,68.25,37.2213,66.5890026806736,40.04357372300759,37.18853624178355,26.694672595641915,1488.431,2189.191,0.6799
30,0.0083,1,Chronic_Stress,True,68.25,37.2213,63.395095225036584,36.14498315186653,41.20958857861367,30.775298961887675,1315.59,2182.389,0.6028
60,0.0167,1,Chronic_Stress,True,68.25,37.2213,59.9230831928614,36.59434230480734,25.600776019671205,34.30842346070348,1577.261,2088.361,0.7553
90,0.025,1,Chronic_Stress,True,68.25,37.2213,72.41344369107641,37.2493316892919,42.49658643441184,36.070966942655346,1625.271,2373.076,0.6849
120,0.0333,1,Chronic_Stress,True,68.25,37.2213,72.41195825331957,47.50648121445283,46.485414649161605,40.023255654538104,1231.879,2149.775,0.573
150,0.0417,1,Chronic_Stress,True,68.25,37.2213,61.79488279159815,39.356499875137814,45.17390924938743,30.22538078633224,1689.13,1773.749,0.9523
180,0.05,1,Chronic_Stress,True,68.25,37.2213,77.7884022128562,36.34909818480267,45.150101703999326,29.149979537304763,1334.741,1963.358,0.6798
210,0.0583,1,Chronic_Stress,True,68.25,37.2213,69.62851819662514,35.670752573407334,44.43707661963432,32.900622119955464,1579.637,2203.893,0.7167
240,0.0667,1,Chronic_Stress,True,68.25,37.2213,62.90900035669116,33.330709480819095,45.128759005897706,28.88701762664765,1470.345,1714.534,0.8576
270,0.075,1,Chronic_Stress,True,68.25,37.2213,71.21024699513772,38.563177612074455,46.549407589121444,35.05978249991307,1734.378,1579.964,1.0977
300,0.0833,1,Chronic_Stress,True,68.25,37.2213,62.38122621748731,36.18734141613112,39.587712896272265,23.76362063457592,1575.01,2038.973,0.7725
330,0.0917,1,Chronic_Stress,True,68.25,37.2213,66.05376061586703,35.14226496635711,44.419910525577066,32.363269478492526,1225.115,2251.759,0.5441
360,0.1,1,Chronic_Stress,True,68.25,37.2213,58.83269867765018,38.66551035087895,32.027416322744095,33.96647482856416,1486.29,1651.112,0.9002
390,0.1083,1,Chronic_Stress,True,68.25,37.2213,69.52624006972103,45.64129979712751,39.15983707453717,35.03418108196248,1422.223,2091.875,0.6799
420,0.1167,1,Chronic_Stress,True,68.25,37.2213,77.33954773118379,33.99677600659969,30.184830521065276,27.722246509717067,1467.811,1559.648,0.9411
450,0.125,1,Chronic_Stress,True,68.25,37.2213,66.40015799933246,33.96188125380417,41.64421576175524,42.018403389887325,1792.309,1873.615,0.9566
480,0.1333,1,Chronic_Stress,True,68.25,37.2213,79.53162036518015,33.6000293769626,45.28346776642167,25.59513922960941,1496.065,2140.169,0.699
510,0.1417,1,Chronic_Stress,True,68.25,37.2213,62.69013821625867,39.903263547644286,37.51563761596809,21.426507252738183,1792.22,1816.253,0.9868
540,0.15,1,Chronic_Stress,True,68.25,37.2213,73.55113748856284,41.82834530578395,36.272816453200335,40.870798054524904,1620.765,1884.877,0.8599
570,0.1583,1,Chronic_Stress,True,68.25,37.2213,73.44826536418607,35.39273486651736,41.767852890777185,46.105463962816906,1431.991,1771.217,0.8085
600,0.1667,1,Chronic_Stress,True,68.25,37.2213,80.96960175690593,32.408954356038045,40.31840848063286,32.82353686067142,1470.062,1672.895,0.8788
630,0.175,1,Chronic_Stress,True,68.25,37.2213,70.76124862480984,37.61212851923731,33.68777090565454,33.11935296742616,1584.511,2019.098,0.7848
660,0.1833,1,Chronic_Stress,True,68.25,37.2213,74.08026387573246,38.791128875347766,48.74428445542451,38.702095411955696,1308.195,2021.597,0.6471
690,0.1917,1,Chronic_Stress,True,68.25,37.2213,74.3199588731391,38.62614495944465,42.68397541809487,24.816699405615765,1450.548,2402.117,0.6039
720,0.2,1,Chronic_Stress,True,68.25,37.2213,41.98785404856677,38.99968238178288,42.83159642883929,36.925106170025714,1209.607,1952.292,0.6196
750,0.2083,1,Chronic_Stress,True,68.25,37.2213,73.6329608121118,37.590101483030764,44.499040892467654,37.08580006682855,1410.879,1929.647,0.7312
780,0.2167,1,Chronic_Stress,True,68.25,37.2213,65.4362805723192,35.0451436344884,45.99504016823181,35.850607076578186,1489.462,1946.02,0.7654
810,0.225,1,Chronic_Stress,True,68.25,37.2213,60.265452636427604,35.960814398661064,37.29177212819943,30.87749327320874,1688.821,2031.358,0.8314
840,0.2333,1,Chronic_Stress,True,68.25,37.2213,61.03038853008348,38.715845998926326,28.772961576761503,25.17827377652726,1252.079,1913.27,0.6544
870,0.2417,1,Chronic_Stress,True,68.25,37.2213,73.45345493474224,36.91760645253852,36.264460216039495,34.64332427668796,1658.187,2055.376,0.8068
900,0.25,1,Chronic_Stress,True,68.25,37.2213,60.935338174258256,34.133148053964604,43.952320928986246,23.851701184779873,1637.491,1970.415,0.831
930,0.2583,1,Chronic_Stress,True,68.25,37.2213,55.092667003669895,40.33021762817869,33.222592700208054,31.228857271769076,1399.087,2172.457,0.644
960,0.2667,1,Chronic_Stress,True,68.25,37.2213,60.82517207153308,38.05264716166092,31.2631309778474,25.713459801907444,1596.419,1651.493,0.9667
990,0.275,1,Chronic_Stress,True,68.25,37.2213,65.80924003587639,45.32267580112869,41.34014698204487,33.00433916910004,1578.499,2056.99,0.7674
1020,0.2833,1,Chronic_Stress,True,68.25,37.2213,75.56931438485091,34.66651771452332,43.424902223980844,31.994488677955932,1514.795,2000.904,0.7571
1050,0.2917,1,Chronic_Stress,True,68.25,37.2213,70.2780486099748,32.9212926853814,38.68950080900718,27.156533815514383,1714.649,2059.963,0.8324
1080,0.3,1,Chronic_Stress,True,68.25,37.2213,65.04163366707552,37.41928384158801,34.11247047183779,27.701036348844628,1286.845,2023.013,0.6361
1110,0.3083,1,Chronic_Stress,True,68.25,37.2213,68.6148445615395,35.261967728838904,41.60037738925452,27.29092035287744,1568.993,1972.978,0.7952
1140,0.3167,1,Chronic_Stress,True,68.25,37.2213,74.36227616472145,39.00133670526307,38.607455690276794,24.63470953160282,1355.575,2056.534,0.6592
1170,0.325,1,Chronic_Stress,True,68.25,37.2213,78.01743202855354,44.315283821794,47.22866623985164,21.901399307713902,1570.55,1906.678,0.8237
