Time_Sec,Hour,Stress_Level,Scenario,Is_Noisy,HR_Target,SDNN_Target,HR_Extracted,SDNN_Extracted,RMSSD,pNN50,LF,HF,LF_HF_Ratio
0,0.0,0,Normal,False,65.0,41.357,64.96959732493228,38.07112367083483,51.02868195094951,37.900892482346215,888.873,2558.212,0.3475
30,0.0083,0,Normal,False,65.0,41.357,63.39419602358253,42.69933368050432,49.60672815569638,39.590266570938574,940.427,2485.825,0.3783
60,0.0167,0,Normal,False,65.0,41.357,61.109989470900246,39.873141515603535,48.253017227683685,33.22190473677019,995.743,2601.439,0.3828
90,0.025,0,Normal,False,65.0,41.357,61.38176854325269,47.979828950592704,49.8960736902363,43.24228079159446,899.808,2553.464,0.3524
120,0.0333,0,Normal,False,65.0,41.357,59.98188970886101,44.437176672824506,47.694212787253285,41.66081086051263,976.298,2634.991,0.3705
150,0.0417,0,Normal,False,65.0,41.357,61.39032095196797,41.967231784313704,48.424918576789445,43.414191207251655,1056.218,2471.35,0.4274
180,0.05,0,Normal,False,65.0,41.357,67.60093561203044,46.268883561908936,51.84997842578313,37.47145974258404,893.679,2280.713,0.3918
210,0.0583,0,Normal,False,65.0,41.357,68.78000814070734,41.45365448466283,50.43403640519091,36.09840426792932,1013.487,2502.925,0.4049
240,0.0667,0,Normal,False,65.0,41.357,68.20387674428632,43.2347548820718,50.47696321159792,34.03719208548811,935.169,2717.809,0.3441
270,0.075,0,Normal,False,65.0,41.357,66.71139611314563,38.56339680461413,50.24437204840866,44.560005126682434,1035.866,2433.04,0.4257
300,0.0833,0,Normal,False,65.0,41.357,61.94294317683178,39.25128979390682,47.00930982820546,34.58668767146191,1007.529,2705.443,0.3724
330,0.0917,0,Normal,False,65.0,41.357,72.17589919970209,41.31133061321787,48.15442848123009,39.19741108763581,1049.537,2767.935,0.3792
360,0.1,0,Normal,False,65.0,41.357,67.91639771503571,39.893526322378094,48.011503633605805,32.925276354028036,1056.857,2545.433,0.4152
390,0.1083,0,Normal,False,65.0,41.357,65.26705531467275,41.548793149256426,45.813992377655175,42.44393141935605,985.024,2386.847,0.4127
420,0.1167,0,Normal,False,65.0,41.357,63.39820748087452,41.79587709113246,47.206810057507866,37.82750714035805,1022.906,2481.303,0.4122
