Time_Sec,Hour,Stress_Level,Scenario,Is_Noisy,HR_Target,SDNN_Target,HR_Extracted,SDNN_Extracted,RMSSD,pNN50,LF,HF,LF_HF_Ratio
0,0.0,0,Normal,True,65.0,41.357,52.30014233029078,52.40463185309754,47.991163635894544,46.06078574852297,1034.738,2336.249,0.4429
30,0.0083,0,Normal,True,65.0,41.357,64.43183151234402,43.90861998365697,37.60855765757574,41.38862417453129,972.064,2976.496,0.3266
60,0.0167,0,Normal,True,65.0,41.357,58.21713460639162,39.2407532915825,60.27654982202625,36.33229851508899,892.791,2454.494,0.3637
90,0.025,0,Normal,True,65.0,41.357,69.90936689600639,40.07010335714066,49.74329881894821,34.84726472542036,866.614,2172.632,0.3989
120,0.0333,0,Normal,True,65.0,41.357,62.38374121320675,50.66624282319643,47.112844789166665,39.25620749104762,830.359,2868.163,0.2895
150,0.0417,0,Normal,True,65.0,41.357,70.98274226841347,40.80166006932896,36.289807612607966,40.93280197840345,1034.64,2477.062,0.4177
180,0.05,0,Normal,True,65.0,41.357,59.41906102763615,42.81456506740887,46.49150186333946,33.932080515356674,1101.726,2147.961,0.5129
210,0.0583,0,Normal,True,65.0,41.357,65.02212905434533,40.23080215065268,43.75518712943702,42.24881453040604,903.362,2290.73,0.3944
240,0.0667,0,Normal,True,65.0,41.357,79.68609918509888,43.99187566366085,47.900170061539946,35.17279889201777,950.65,2249.181,0.4227
270,0.075,0,Normal,True,65.0,41.357,64.49646157841067,35.57555559313403,47.82229094644164,46.475641034907525,1000.454,2474.208,0.4044
300,0.0833,0,Normal,True,65.0,41.357,59.95816395141123,46.31707717755803,48.73517871574822,24.7308221738453,978.557,2593.137,0.3774
330,0.0917,0,Normal,True,65.0,41.357,65.29896302980917,48.307353937712605,52.4109996062651,19.57286790054545,1061.148,2703.435,0.3925
360,0.1,0,Normal,True,65.0,41.357,60.918618440369634,36.74851719216865,51.373933060742246,41.09713547487024,1041.35,2048.994,0.5082
390,0.1083,0,Normal,True,65.0,41.357,69.1433468915456,40.793704775928035,57.57573887890413,28.05652464070192,1081.485,2930.511,0.369
420,0.1167,0,Normal,True,65.0,41.357,68.5443704041913,36.32212594421645,51.92233900593354,37.465170938209766,969.077,2482.401,0.3904
450,0.125,0,Normal,True,65.0,41.357,76.45849982606298,52.24929975453477,55.11780972475244,38.08143712852864,1027.951,2458.543,0.4181
480,0.1333,0,Normal,True,65.0,41.357,73.67461035904171,45.51658220789146,48.22836733562363,36.279857714378196,813.349,2473.882,0.3288
510,0.1417,0,Normal,True,65.0,41.357,74.4896757952116,47.42756865656677,49.1293916641977,37.691194948396245,1021.994,3193.009,0.3201
540,0.15,0,Normal,True,65.0,41.357,78.06996037908337,49.51310440112021,50.09539736307281,46.41278179512883,826.334,2835.097,0.2915
570,0.1583,0,Normal,True,65.0,41.357,65.67368599466053,36.555031088376296,44.21830867120087,36.735188718534275,955.898,2504.097,0.3817
600,0.1667,0,Normal,True,65.0,41.357,60.52119484558682,42.96692084097443,49.25929426539153,32.944134723637326,928.086,2752.859,0.3371
630,0.175,0,Normal,True,65.0,41.357,72.96157099717293,43.7511797075488,41.94889235676677,27.55625650480018,729.007,2223.442,0.3279
660,0.1833,0,Normal,True,65.0,41.357,52.752355763204136,40.07339987416294,53.374929476776956,40.41374734594719,858.765,2794.203,0.3073
690,0.1917,0,Normal,True,65.0,41.357,60.573799523920364,38.05493619353274,45.53708261327414,35.77233680404593,852.859,2078.295,0.4104
720,0.2,0,Normal,True,65.0,41.357,60.796103779012014,45.182758104929995,55.13610627219245,40.46816835200539,1108.767,2694.801,0.4114
750,0.2083,0,Normal,True,65.0,41.357,69.23973044016313,45.29547476680185,40.216396731898726,32.38626710592956,839.02,2369.459,0.3541
780,0.2167,0,Normal,True,65.0,41.357,63.60015255617336,42.94061308738183,43.87989684712804,40.19951583566327,1115.918,2314.856,0.4821
810,0.225,0,Normal,True,65.0,41.357,59.108100662720176,51.16324403871012,46.12101638923881,47.78562789298571,937.698,2549.988,0.3677
840,0.2333,0,Normal,True,65.0,41.357,65.81998047837669,42.27260599343772,50.207454644702096,41.38692188361748,1073.24,2332.795,0.4601
870,0.2417,0,Normal,True,65.0,41.357,58.18270267727384,46.39591943242928,57.47097541489066,42.26778117026162,1120.947,2935.946,0.3818
900,0.25,0,Normal,True,65.0,41.357,58.060874082778184,39.81085052427503,57.146905665113586,35.281503059986655,1029.964,3118.36,0.3303
930,0.2583,0,Normal,True,65.0,41.357,64.12189714570383,49.36994532092632,54.793171293337245,33.64085607953109,1287.718,2759.446,0.4667
960,0.2667,0,Normal,True,65.0,41.357,56.65699150801002,48.76115191206808,40.480657969016626,31.5175635408154,1052.741,2364.208,0.4453
990,0.275,0,Normal,True,65.0,41.357,67.89576163441264,40.357727910234146,51.31159168738408,30.414229639916385,1079.406,2347.144,0.4599
1020,0.2833,0,Normal,True,65.0,41.357,64.06419543142408,42.292096604431144,41.211361966700125,35.7848110360214,1088.326,2204.943,0.4936
1050,0.2917,0,Normal,True,65.0,41.357,73.17347469926739,36.71610890213658,50.02432094795271,41.35073559139328,1124.78,2807.72,0.4006
1080,0.3,0,Normal,True,65.0,41.357,77.61495079459107,40.88782845307389,49.486302617667825,40.83606763321133,1100.699,2747.494,0.4006
1110,0.3083,0,Normal,True,65.0,41.357,61.14795196510535,48.50083610562166,49.31593688448626,27.932443963138336,1276.183,2850.249,0.4477
1140,0.3167,0,Normal,True,65.0,41.357,61.00695705481706,42.676159442466115,53.389745670929265,47.71102143089162,822.769,1989.9,0.4135
1170,0.325,0,Normal,True,65.0,41.357,65.7885822328562,40.07110170638722,54.148427601817545,38.76942493110163,1158.746,2654.845,0.4365
1200,0.3333,0,Normal,True,65.0,41.357,58.1928878422873,45.760472726812274,41.29936442143685,30.820634679880786,1063.765,1860.159,0.5719
1230,0.3417,0,Normal,True,65.0,41.357,69.17221135946585,38.371599503720645,53.43434446618827,33.334172850452745,917.572,2714.121,0.3381
1260,0.35,0,Normal,True,65.0,41.357,56.85579659872846,46.95813279886346,51.84777334456126,42.89352795797348,940.615,2220.951,0.4235
1290,0.3583,0,Normal,True,65.0,41.357,53.82505220184731,44.837587034704335,52.86506534730023,43.03117864609746,1079.649,2759.248,0.3913
1320,0.3667,0,Normal,True,65.0,41.357,74.73142995066236,37.82458891353025,60.19056509200726,33.51368670099551,1028.107,2004.018,0.513
1350,0.375,0,Normal,True,65.0,41.357,71.60133191828466,42.281941328496224,46.89718779391612,34.97589785196364,1005.971,1988.922,0.5058
1380,0.3833,0,Normal,True,65.0,41.357,66.23684413839135,35.8162680470355,52.64307666864441,47.034153810871146,1118.242,2410.901,0.4638
1410,0.3917,0,Normal,True,65.0,41.357,63.96483000856555,32.5765124508768,45.0241735874414,35.65788002034118,1040.965,3124.308,0.3332
1440,0.4,0,Normal,True,65.0,41.357,66.85037799927113,38.73669857468645,47.04253401194782,44.21328837735901,929.646,2531.495,0.3672
1470,0.4083,0,Normal,True,65.0,41.357,77.01681809239035,34.425480685356696,54.70690650090286,39.532177034167994,1010.449,2762.112,0.3658
1500,0.4167,0,Normal,True,65.0,41.357,61.79527672169407,50.79319781453678,54.451959913043616,27.70593874436327,1040.175,2116.5,0.4915
1530,0.425,0,Normal,True,65.0,41.357,52.18147058730998,33.64279943168398,51.057354132490666,41.07377331154339,962.702,2485.019,0.3874
1560,0.4333,0,Normal,True,65.0,41.357,68.1960405304919,53.99023207480595,52.71386468443045,37.42680943981646,1014.222,2816.471,0.3601
1590,0.4417,0,Normal,True,65.0,41.357,71.80178130996234,53.63219861744778,44.93674459100707,40.29973099087147,1028.611,2632.523,0.3907
1620,0.45,0,Normal,True,65.0,41.357,73.07614929986613,48.01972586974753,45.76023747305873,54.66224608225035,1085.203,2252.395,0.4818
1650,0.4583,0,Normal,True,65.0,41.357,69.91963916969732,44.61389006487232,52.44247844486878,33.010393581923,969.194,1758.815,0.551
1680,0.4667,0,Normal,True,65.0,41.357,71.63811192334538,44.66830555662198,50.810164265130204,45.49368954540723,1023.248,2928.016,0.3495
1710,0.475,0,Normal,True,65.0,41.357,57.45434638884537,52.37236237175116,42.09188989896215,23.971986897459164,924.865,2319.324,0.3988
1740,0.4833,0,Normal,True,65.0,41.357,64.09874487328298,36.52782866716639,44.80568604112794,35.695231335784484,1014.617,2790.261,0.3636
1770,0.4917,0,Normal,True,65.0,41.357,59.3059577158406,39.12546448754295,47.43176515048914,37.81875624096777,1134.106,2739.142,0.414
1800,0.5,0,Normal,True,65.0,41.357,54.202380202098574,40.27001841567981,45.622323084296326,35.905811716886056,961.14,2375.693,0.4046
1830,0.5083,0,Normal,True,65.0,41.357,69.62025511216663,29.749486478780582,41.03858589357238,39.70814282351519,1055.692,2886.365,0.3658
1860,0.5167,0,Normal,True,65.0,41.357,69.82908762052651,41.85238274026247,49.245881216794885,42.66987954456112,1101.256,2212.186,0.4978
1890,0.525,0,Normal,True,65.0,41.357,68.30894902552136,36.60633256745715,47.5678032107267,47.018751145613365,1063.911,3124.839,0.3405
1920,0.5333,0,Normal,True,65.0,41.357,62.557260712871255,38.02943972622422,42.57582352000405,38.57371225678819,923.571,3016.888,0.3061
1950,0.5417,0,Normal,True,65.0,41.357,69.40670656698026,48.51157409163353,48.136538294533615,44.820910619793956,926.913,2759.067,0.336
