Strategy,Task,Model,Accuracy,F1_Score,n_train,n_test
A: Clean→Noisy,binary,RandomForest,0.9894,0.9894,4320,6912
A: Clean→Noisy,binary,GradientBoosting,0.9524,0.9523,4320,6912
A: Clean→Noisy,binary,SVM_RBF,0.9489,0.9489,4320,6912
A: Clean→Noisy,multiclass,RandomForest,0.9747,0.9815,4320,6912
A: Clean→Noisy,multiclass,GradientBoosting,0.854,0.8623,4320,6912
A: Clean→Noisy,multiclass,SVM_RBF,0.7786,0.8154,4320,6912
B: Normal+Acute→Chronic,binary,RandomForest,0.997,0.9959,4608,4608
B: Normal+Acute→Chronic,binary,GradientBoosting,0.995,0.9933,4608,4608
B: Normal+Acute→Chronic,binary,SVM_RBF,0.9852,0.9801,4608,4608
B: Normal+Acute→Chronic,multiclass,RandomForest,0.9946,0.8272,4608,4608
B: Normal+Acute→Chronic,multiclass,GradientBoosting,0.9679,0.8009,4608,4608
B: Normal+Acute→Chronic,multiclass,SVM_RBF,0.7522,0.5286,4608,4608
